#TGICL_NAME	CONTIG_NAME
CL1215Contig1	HCGP-CT-CO_00283
CL1216Contig1	HCGP-CT-CO_00284
CL1217Contig1	HCGP-CT-CO_00285
CL1218Contig1	HCGP-CT-CO_00286
CL121Contig1	HCGP-CT-CO_00287
CL1220Contig1	HCGP-CT-CO_00288
CL1221Contig1	HCGP-CT-CO_00289
CL1222Contig1	HCGP-CT-CO_00290
CL1223Contig1	HCGP-CT-CO_00291
CL1224Contig1	HCGP-CT-CO_00292
CL1225Contig1	HCGP-CT-CO_00293
CL1226Contig1	HCGP-CT-CO_00294
CL1227Contig1	HCGP-CT-CO_00295
CL1228Contig1	HCGP-CT-CO_00296
CL1229Contig1	HCGP-CT-CO_00297
CL122Contig1	HCGP-CT-CO_00298
CL1230Contig1	HCGP-CT-CO_00299
CL1231Contig1	HCGP-CT-CO_00300
CL1232Contig1	HCGP-CT-CO_00301
CL1233Contig1	HCGP-CT-CO_00302
CL1234Contig1	HCGP-CT-CO_00303
CL1235Contig1	HCGP-CT-CO_00304
CL1236Contig1	HCGP-CT-CO_00305
CL1237Contig1	HCGP-CT-CO_00306
CL1238Contig1	HCGP-CT-CO_00307
CL1239Contig1	HCGP-CT-CO_00308
CL123Contig1	HCGP-CT-CO_00309
CL1240Contig1	HCGP-CT-CO_00310
CL1241Contig1	HCGP-CT-CO_00311
CL1242Contig1	HCGP-CT-CO_00312
CL1243Contig1	HCGP-CT-CO_00313
CL1244Contig1	HCGP-CT-CO_00314
CL1245Contig1	HCGP-CT-CO_00315
CL1246Contig1	HCGP-CT-CO_00316
CL1246Contig2	HCGP-CT-CO_00317
CL1247Contig1	HCGP-CT-CO_00318
CL1248Contig1	HCGP-CT-CO_00319
CL1249Contig1	HCGP-CT-CO_00320
CL124Contig1	HCGP-CT-CO_00321
CL1250Contig1	HCGP-CT-CO_00322
CL1251Contig1	HCGP-CT-CO_00323
CL1252Contig1	HCGP-CT-CO_00324
CL1253Contig1	HCGP-CT-CO_00325
CL1254Contig1	HCGP-CT-CO_00326
CL1255Contig1	HCGP-CT-CO_00327
CL1256Contig1	HCGP-CT-CO_00328
CL1257Contig1	HCGP-CT-CO_00329
CL1257Contig2	HCGP-CT-CO_00330
CL1258Contig1	HCGP-CT-CO_00331
CL1258Contig2	HCGP-CT-CO_00332
CL1259Contig1	HCGP-CT-CO_00333
CL125Contig1	HCGP-CT-CO_00334
CL125Contig2	HCGP-CT-CO_00335
CL125Contig3	HCGP-CT-CO_00336
CL1260Contig1	HCGP-CT-CO_00337
CL1261Contig1	HCGP-CT-CO_00338
CL1262Contig1	HCGP-CT-CO_00339
CL1263Contig1	HCGP-CT-CO_00340
CL1264Contig1	HCGP-CT-CO_00341
CL1265Contig1	HCGP-CT-CO_00342
CL1266Contig1	HCGP-CT-CO_00343
CL1268Contig1	HCGP-CT-CO_00344
CL1269Contig1	HCGP-CT-CO_00345
CL126Contig1	HCGP-CT-CO_00346
CL126Contig2	HCGP-CT-CO_00347
CL1270Contig1	HCGP-CT-CO_00348
CL1270Contig2	HCGP-CT-CO_00349
CL1271Contig1	HCGP-CT-CO_00350
CL1272Contig1	HCGP-CT-CO_00351
CL1273Contig1	HCGP-CT-CO_00352
CL1274Contig1	HCGP-CT-CO_00353
CL1275Contig1	HCGP-CT-CO_00354
CL1276Contig1	HCGP-CT-CO_00355
