#TGICL_NAME	CONTIG_NAME
CL1389Contig1	HCGP-EN-CO_00396
CL138Contig1	HCGP-EN-CO_00397
CL138Contig2	HCGP-EN-CO_00398
CL1390Contig1	HCGP-EN-CO_00399
CL1391Contig1	HCGP-EN-CO_00400
CL1392Contig1	HCGP-EN-CO_00401
CL1393Contig1	HCGP-EN-CO_00402
CL1394Contig1	HCGP-EN-CO_00403
CL1395Contig1	HCGP-EN-CO_00404
CL1396Contig1	HCGP-EN-CO_00405
CL1397Contig1	HCGP-EN-CO_00406
CL1398Contig1	HCGP-EN-CO_00407
CL1399Contig1	HCGP-EN-CO_00408
CL139Contig1	HCGP-EN-CO_00409
CL139Contig2	HCGP-EN-CO_00410
CL13Contig1	HCGP-EN-CO_00411
CL1400Contig1	HCGP-EN-CO_00412
CL1401Contig1	HCGP-EN-CO_00413
CL1402Contig1	HCGP-EN-CO_00414
CL1403Contig1	HCGP-EN-CO_00415
CL1404Contig1	HCGP-EN-CO_00416
CL1405Contig1	HCGP-EN-CO_00417
CL1406Contig1	HCGP-EN-CO_00418
CL1407Contig1	HCGP-EN-CO_00419
CL1408Contig1	HCGP-EN-CO_00420
CL1409Contig1	HCGP-EN-CO_00421
CL140Contig1	HCGP-EN-CO_00422
CL1410Contig1	HCGP-EN-CO_00423
CL1411Contig1	HCGP-EN-CO_00424
CL1412Contig1	HCGP-EN-CO_00425
CL1413Contig1	HCGP-EN-CO_00426
CL1414Contig1	HCGP-EN-CO_00427
CL1415Contig1	HCGP-EN-CO_00428
CL1416Contig1	HCGP-EN-CO_00429
CL1417Contig1	HCGP-EN-CO_00430
CL1418Contig1	HCGP-EN-CO_00431
CL1419Contig1	HCGP-EN-CO_00432
CL141Contig1	HCGP-EN-CO_00433
CL1420Contig1	HCGP-EN-CO_00434
CL1422Contig1	HCGP-EN-CO_00435
CL1423Contig1	HCGP-EN-CO_00436
CL1424Contig1	HCGP-EN-CO_00437
CL1425Contig1	HCGP-EN-CO_00438
CL1426Contig1	HCGP-EN-CO_00439
CL1427Contig1	HCGP-EN-CO_00440
CL1428Contig1	HCGP-EN-CO_00441
CL1429Contig1	HCGP-EN-CO_00442
CL142Contig1	HCGP-EN-CO_00443
CL1430Contig1	HCGP-EN-CO_00444
CL1431Contig1	HCGP-EN-CO_00445
CL1432Contig1	HCGP-EN-CO_00446
CL1434Contig1	HCGP-EN-CO_00447
CL1435Contig1	HCGP-EN-CO_00448
CL1436Contig1	HCGP-EN-CO_00449
CL1437Contig1	HCGP-EN-CO_00450
CL1438Contig1	HCGP-EN-CO_00451
CL1439Contig1	HCGP-EN-CO_00452
CL143Contig1	HCGP-EN-CO_00453
CL1440Contig1	HCGP-EN-CO_00454
CL1441Contig1	HCGP-EN-CO_00455
CL1442Contig1	HCGP-EN-CO_00456
CL1443Contig1	HCGP-EN-CO_00457
CL1444Contig1	HCGP-EN-CO_00458
CL1445Contig1	HCGP-EN-CO_00459
CL1446Contig1	HCGP-EN-CO_00460
CL1447Contig1	HCGP-EN-CO_00461
CL1448Contig1	HCGP-EN-CO_00462
CL1449Contig1	HCGP-EN-CO_00463
CL144Contig1	HCGP-EN-CO_00464
CL1450Contig1	HCGP-EN-CO_00465
CL1451Contig1	HCGP-EN-CO_00466
CL1452Contig1	HCGP-EN-CO_00467
CL1453Contig1	HCGP-EN-CO_00468
CL1454Contig1	HCGP-EN-CO_00469
CL1455Contig1	HCGP-EN-CO_00470
CL1456Contig1	HCGP-EN-CO_00471
CL1457Contig1	HCGP-EN-CO_00472
CL1458Contig1	HCGP-EN-CO_00473
CL1459Contig1	HCGP-EN-CO_00474
CL145Contig1	HCGP-EN-CO_00475
CL1460Contig1	HCGP-EN-CO_00476
CL1461Contig1	HCGP-EN-CO_00477
CL1463Contig1	HCGP-EN-CO_00478
CL1464Contig1	HCGP-EN-CO_00479
CL1465Contig1	HCGP-EN-CO_00480
CL1466Contig1	HCGP-EN-CO_00481
CL1467Contig1	HCGP-EN-CO_00482
CL1468Contig1	HCGP-EN-CO_00483
CL1469Contig1	HCGP-EN-CO_00484
CL146Contig1	HCGP-EN-CO_00485
CL1470Contig1	HCGP-EN-CO_00486
CL1471Contig1	HCGP-EN-CO_00487
CL1472Contig1	HCGP-EN-CO_00488
CL1473Contig1	HCGP-EN-CO_00489
CL1474Contig1	HCGP-EN-CO_00490
CL1475Contig1	HCGP-EN-CO_00491
CL1476Contig1	HCGP-EN-CO_00492
CL1477Contig1	HCGP-EN-CO_00493
CL1478Contig1	HCGP-EN-CO_00494
CL1479Contig1	HCGP-EN-CO_00495
CL147Contig1	HCGP-EN-CO_00496
CL1480Contig1	HCGP-EN-CO_00497
CL1481Contig1	HCGP-EN-CO_00498
CL1482Contig1	HCGP-EN-CO_00499
CL1483Contig1	HCGP-EN-CO_00500
CL1484Contig1	HCGP-EN-CO_00501
CL1485Contig1	HCGP-EN-CO_00502
CL1486Contig1	HCGP-EN-CO_00503
CL1487Contig1	HCGP-EN-CO_00504
CL1488Contig1	HCGP-EN-CO_00505
CL1489Contig1	HCGP-EN-CO_00506
CL148Contig1	HCGP-EN-CO_00507
CL1490Contig1	HCGP-EN-CO_00508
CL1491Contig1	HCGP-EN-CO_00509
CL1492Contig1	HCGP-EN-CO_00510
CL1493Contig1	HCGP-EN-CO_00511
CL1494Contig1	HCGP-EN-CO_00512
CL1495Contig1	HCGP-EN-CO_00513
CL1496Contig1	HCGP-EN-CO_00514
CL1497Contig1	HCGP-EN-CO_00515
CL1498Contig1	HCGP-EN-CO_00516
CL1499Contig1	HCGP-EN-CO_00517
CL149Contig1	HCGP-EN-CO_00518
CL14Contig1	HCGP-EN-CO_00519
CL14Contig2	HCGP-EN-CO_00520
CL14Contig3	HCGP-EN-CO_00521
CL1500Contig1	HCGP-EN-CO_00522
CL1501Contig1	HCGP-EN-CO_00523
CL1502Contig1	HCGP-EN-CO_00524
CL1503Contig1	HCGP-EN-CO_00525
CL1504Contig1	HCGP-EN-CO_00526
CL1505Contig1	HCGP-EN-CO_00527
CL1506Contig1	HCGP-EN-CO_00528
CL1507Contig1	HCGP-EN-CO_00529
CL1508Contig1	HCGP-EN-CO_00530
CL1509Contig1	HCGP-EN-CO_00531
CL150Contig1	HCGP-EN-CO_00532
CL1510Contig1	HCGP-EN-CO_00533
CL1511Contig1	HCGP-EN-CO_00534
CL1512Contig1	HCGP-EN-CO_00535
CL1513Contig1	HCGP-EN-CO_00536
CL1514Contig1	HCGP-EN-CO_00537
CL1515Contig1	HCGP-EN-CO_00538
CL1516Contig1	HCGP-EN-CO_00539
CL1517Contig1	HCGP-EN-CO_00540
CL1518Contig1	HCGP-EN-CO_00541
CL1519Contig1	HCGP-EN-CO_00542
CL151Contig1	HCGP-EN-CO_00543
CL151Contig2	HCGP-EN-CO_00544
CL1520Contig1	HCGP-EN-CO_00545
CL1521Contig1	HCGP-EN-CO_00546
CL1522Contig1	HCGP-EN-CO_00547
CL1523Contig1	HCGP-EN-CO_00548
CL1524Contig1	HCGP-EN-CO_00549
CL1525Contig1	HCGP-EN-CO_00550
CL1526Contig1	HCGP-EN-CO_00551
CL1527Contig1	HCGP-EN-CO_00552
CL1528Contig1	HCGP-EN-CO_00553
CL1529Contig1	HCGP-EN-CO_00554
CL152Contig1	HCGP-EN-CO_00555
CL1530Contig1	HCGP-EN-CO_00556
CL1531Contig1	HCGP-EN-CO_00557
CL1532Contig1	HCGP-EN-CO_00558
CL1533Contig1	HCGP-EN-CO_00559
CL1534Contig1	HCGP-EN-CO_00560
CL1536Contig1	HCGP-EN-CO_00561
CL1537Contig1	HCGP-EN-CO_00562
CL1538Contig1	HCGP-EN-CO_00563
CL1539Contig1	HCGP-EN-CO_00564
CL153Contig1	HCGP-EN-CO_00565
CL1540Contig1	HCGP-EN-CO_00566
CL1541Contig1	HCGP-EN-CO_00567
