#TGICL_NAME	CONTIG_NAME
CL10350Contig1	HCGP-HT-CO_00376
CL10352Contig1	HCGP-HT-CO_00377
CL10353Contig1	HCGP-HT-CO_00378
CL10355Contig1	HCGP-HT-CO_00379
CL10356Contig1	HCGP-HT-CO_00380
CL10357Contig1	HCGP-HT-CO_00381
CL10358Contig1	HCGP-HT-CO_00382
CL10359Contig1	HCGP-HT-CO_00383
CL1035Contig1	HCGP-HT-CO_00384
CL10360Contig1	HCGP-HT-CO_00385
CL10361Contig1	HCGP-HT-CO_00386
CL10362Contig1	HCGP-HT-CO_00387
CL10363Contig1	HCGP-HT-CO_00388
CL10364Contig1	HCGP-HT-CO_00389
CL10365Contig1	HCGP-HT-CO_00390
CL10366Contig1	HCGP-HT-CO_00391
CL10367Contig1	HCGP-HT-CO_00392
CL10368Contig1	HCGP-HT-CO_00393
CL1036Contig1	HCGP-HT-CO_00394
CL10370Contig1	HCGP-HT-CO_00395
CL10371Contig1	HCGP-HT-CO_00396
CL10372Contig1	HCGP-HT-CO_00397
CL10373Contig1	HCGP-HT-CO_00398
CL10375Contig1	HCGP-HT-CO_00399
CL10376Contig1	HCGP-HT-CO_00400
CL10377Contig1	HCGP-HT-CO_00401
CL10378Contig1	HCGP-HT-CO_00402
CL10379Contig1	HCGP-HT-CO_00403
CL1037Contig1	HCGP-HT-CO_00404
CL1037Contig2	HCGP-HT-CO_00405
CL10380Contig1	HCGP-HT-CO_00406
CL10381Contig1	HCGP-HT-CO_00407
CL10382Contig1	HCGP-HT-CO_00408
CL10383Contig1	HCGP-HT-CO_00409
CL10384Contig1	HCGP-HT-CO_00410
CL10385Contig1	HCGP-HT-CO_00411
CL10386Contig1	HCGP-HT-CO_00412
CL10387Contig1	HCGP-HT-CO_00413
CL10388Contig1	HCGP-HT-CO_00414
CL10389Contig1	HCGP-HT-CO_00415
CL10390Contig1	HCGP-HT-CO_00416
CL10391Contig1	HCGP-HT-CO_00417
CL10392Contig1	HCGP-HT-CO_00418
CL10393Contig1	HCGP-HT-CO_00419
CL10394Contig1	HCGP-HT-CO_00420
CL10395Contig1	HCGP-HT-CO_00421
CL10396Contig1	HCGP-HT-CO_00422
CL10397Contig1	HCGP-HT-CO_00423
CL10398Contig1	HCGP-HT-CO_00424
CL10399Contig1	HCGP-HT-CO_00425
CL1039Contig1	HCGP-HT-CO_00426
CL103Contig1	HCGP-HT-CO_00427
CL10400Contig1	HCGP-HT-CO_00428
CL10401Contig1	HCGP-HT-CO_00429
CL10402Contig1	HCGP-HT-CO_00430
CL10403Contig1	HCGP-HT-CO_00431
CL10404Contig1	HCGP-HT-CO_00432
CL10405Contig1	HCGP-HT-CO_00433
CL10406Contig1	HCGP-HT-CO_00434
CL10407Contig1	HCGP-HT-CO_00435
CL10408Contig1	HCGP-HT-CO_00436
CL1040Contig1	HCGP-HT-CO_00437
CL10410Contig1	HCGP-HT-CO_00438
CL10411Contig1	HCGP-HT-CO_00439
CL10412Contig1	HCGP-HT-CO_00440
CL10413Contig1	HCGP-HT-CO_00441
CL10415Contig1	HCGP-HT-CO_00442
CL10416Contig1	HCGP-HT-CO_00443
CL10417Contig1	HCGP-HT-CO_00444
CL10418Contig1	HCGP-HT-CO_00445
CL10419Contig1	HCGP-HT-CO_00446
CL1041Contig1	HCGP-HT-CO_00447
CL1041Contig2	HCGP-HT-CO_00448
CL10420Contig1	HCGP-HT-CO_00449
CL10421Contig1	HCGP-HT-CO_00450
CL10422Contig1	HCGP-HT-CO_00451
CL10423Contig1	HCGP-HT-CO_00452
CL10424Contig1	HCGP-HT-CO_00453
CL10426Contig1	HCGP-HT-CO_00454
CL10427Contig1	HCGP-HT-CO_00455
CL10428Contig1	HCGP-HT-CO_00456
CL10429Contig1	HCGP-HT-CO_00457
CL1042Contig1	HCGP-HT-CO_00458
CL1042Contig2	HCGP-HT-CO_00459
CL10430Contig1	HCGP-HT-CO_00460
CL10431Contig1	HCGP-HT-CO_00461
CL10432Contig1	HCGP-HT-CO_00462
CL10433Contig1	HCGP-HT-CO_00463
CL10434Contig1	HCGP-HT-CO_00464
CL10435Contig1	HCGP-HT-CO_00465
CL10436Contig1	HCGP-HT-CO_00466
CL10437Contig1	HCGP-HT-CO_00467
CL10438Contig1	HCGP-HT-CO_00468
