#TGICL_NAME	CONTIG_NAME
CL307Contig1	HCGP-HN-CO_00359
CL309Contig1	HCGP-HN-CO_00360
CL30Contig1	HCGP-HN-CO_00361
CL30Contig2	HCGP-HN-CO_00362
CL310Contig1	HCGP-HN-CO_00363
CL311Contig1	HCGP-HN-CO_00364
CL312Contig1	HCGP-HN-CO_00365
CL313Contig1	HCGP-HN-CO_00366
CL314Contig1	HCGP-HN-CO_00367
CL315Contig1	HCGP-HN-CO_00368
CL316Contig1	HCGP-HN-CO_00369
CL317Contig1	HCGP-HN-CO_00370
CL318Contig1	HCGP-HN-CO_00371
CL319Contig1	HCGP-HN-CO_00372
CL31Contig1	HCGP-HN-CO_00373
CL31Contig2	HCGP-HN-CO_00374
CL320Contig1	HCGP-HN-CO_00375
CL321Contig1	HCGP-HN-CO_00376
CL322Contig1	HCGP-HN-CO_00377
CL323Contig1	HCGP-HN-CO_00378
CL324Contig1	HCGP-HN-CO_00379
CL325Contig1	HCGP-HN-CO_00380
CL326Contig1	HCGP-HN-CO_00381
CL327Contig1	HCGP-HN-CO_00382
CL328Contig1	HCGP-HN-CO_00383
CL329Contig1	HCGP-HN-CO_00384
CL32Contig1	HCGP-HN-CO_00385
CL330Contig1	HCGP-HN-CO_00386
CL331Contig1	HCGP-HN-CO_00387
CL332Contig1	HCGP-HN-CO_00388
CL333Contig1	HCGP-HN-CO_00389
CL334Contig1	HCGP-HN-CO_00390
CL335Contig1	HCGP-HN-CO_00391
CL336Contig1	HCGP-HN-CO_00392
CL337Contig1	HCGP-HN-CO_00393
CL338Contig1	HCGP-HN-CO_00394
CL339Contig1	HCGP-HN-CO_00395
CL33Contig1	HCGP-HN-CO_00396
CL340Contig1	HCGP-HN-CO_00397
CL341Contig1	HCGP-HN-CO_00398
CL342Contig1	HCGP-HN-CO_00399
CL343Contig1	HCGP-HN-CO_00400
CL344Contig1	HCGP-HN-CO_00401
CL345Contig1	HCGP-HN-CO_00402
CL346Contig1	HCGP-HN-CO_00403
CL347Contig1	HCGP-HN-CO_00404
CL348Contig1	HCGP-HN-CO_00405
CL349Contig1	HCGP-HN-CO_00406
CL34Contig1	HCGP-HN-CO_00407
CL350Contig1	HCGP-HN-CO_00408
CL352Contig1	HCGP-HN-CO_00409
CL353Contig1	HCGP-HN-CO_00410
CL354Contig1	HCGP-HN-CO_00411
CL355Contig1	HCGP-HN-CO_00412
CL356Contig1	HCGP-HN-CO_00413
CL357Contig1	HCGP-HN-CO_00414
CL358Contig1	HCGP-HN-CO_00415
CL359Contig1	HCGP-HN-CO_00416
CL35Contig1	HCGP-HN-CO_00417
CL360Contig1	HCGP-HN-CO_00418
CL361Contig1	HCGP-HN-CO_00419
CL362Contig1	HCGP-HN-CO_00420
CL363Contig1	HCGP-HN-CO_00421
CL364Contig1	HCGP-HN-CO_00422
CL365Contig1	HCGP-HN-CO_00423
CL366Contig1	HCGP-HN-CO_00424
CL367Contig1	HCGP-HN-CO_00425
CL368Contig1	HCGP-HN-CO_00426
CL369Contig1	HCGP-HN-CO_00427
CL36Contig1	HCGP-HN-CO_00428
CL370Contig1	HCGP-HN-CO_00429
