#TGICL_NAME	CONTIG_NAME
CL1307Contig1	HCGP-CN-CO_00322
CL1308Contig1	HCGP-CN-CO_00323
CL1309Contig1	HCGP-CN-CO_00324
CL130Contig1	HCGP-CN-CO_00325
CL1310Contig1	HCGP-CN-CO_00326
CL1311Contig1	HCGP-CN-CO_00327
CL1312Contig1	HCGP-CN-CO_00328
CL1313Contig1	HCGP-CN-CO_00329
CL1314Contig1	HCGP-CN-CO_00330
CL1315Contig1	HCGP-CN-CO_00331
CL1316Contig1	HCGP-CN-CO_00332
CL1317Contig1	HCGP-CN-CO_00333
CL1318Contig1	HCGP-CN-CO_00334
CL1319Contig1	HCGP-CN-CO_00335
CL131Contig1	HCGP-CN-CO_00336
CL131Contig2	HCGP-CN-CO_00337
CL1320Contig1	HCGP-CN-CO_00338
CL1321Contig1	HCGP-CN-CO_00339
CL1322Contig1	HCGP-CN-CO_00340
CL1323Contig1	HCGP-CN-CO_00341
CL1324Contig1	HCGP-CN-CO_00342
CL1325Contig1	HCGP-CN-CO_00343
CL1326Contig1	HCGP-CN-CO_00344
CL1328Contig1	HCGP-CN-CO_00345
CL1329Contig1	HCGP-CN-CO_00346
CL132Contig1	HCGP-CN-CO_00347
CL133Contig1	HCGP-CN-CO_00348
CL134Contig1	HCGP-CN-CO_00349
CL135Contig1	HCGP-CN-CO_00350
CL136Contig1	HCGP-CN-CO_00351
CL137Contig1	HCGP-CN-CO_00352
CL138Contig1	HCGP-CN-CO_00353
CL139Contig1	HCGP-CN-CO_00354
CL13Contig1	HCGP-CN-CO_00355
CL13Contig2	HCGP-CN-CO_00356
CL13Contig3	HCGP-CN-CO_00357
CL13Contig4	HCGP-CN-CO_00358
CL13Contig6	HCGP-CN-CO_00359
CL140Contig1	HCGP-CN-CO_00360
CL141Contig1	HCGP-CN-CO_00361
CL142Contig1	HCGP-CN-CO_00362
CL143Contig1	HCGP-CN-CO_00363
CL143Contig2	HCGP-CN-CO_00364
CL144Contig1	HCGP-CN-CO_00365
CL145Contig1	HCGP-CN-CO_00366
CL146Contig1	HCGP-CN-CO_00367
CL147Contig1	HCGP-CN-CO_00368
CL148Contig1	HCGP-CN-CO_00369
CL149Contig1	HCGP-CN-CO_00370
CL14Contig1	HCGP-CN-CO_00371
CL14Contig2	HCGP-CN-CO_00372
CL150Contig1	HCGP-CN-CO_00373
CL151Contig1	HCGP-CN-CO_00374
CL152Contig1	HCGP-CN-CO_00375
CL153Contig1	HCGP-CN-CO_00376
CL154Contig1	HCGP-CN-CO_00377
CL155Contig1	HCGP-CN-CO_00378
CL156Contig1	HCGP-CN-CO_00379
CL157Contig1	HCGP-CN-CO_00380
CL158Contig1	HCGP-CN-CO_00381
CL159Contig1	HCGP-CN-CO_00382
CL159Contig2	HCGP-CN-CO_00383
CL15Contig1	HCGP-CN-CO_00384
CL15Contig2	HCGP-CN-CO_00385
CL160Contig1	HCGP-CN-CO_00386
CL161Contig1	HCGP-CN-CO_00387
CL161Contig2	HCGP-CN-CO_00388
CL162Contig1	HCGP-CN-CO_00389
CL163Contig1	HCGP-CN-CO_00390
CL164Contig1	HCGP-CN-CO_00391
CL165Contig1	HCGP-CN-CO_00392
CL165Contig2	HCGP-CN-CO_00393
CL166Contig1	HCGP-CN-CO_00394
CL167Contig1	HCGP-CN-CO_00395
CL168Contig1	HCGP-CN-CO_00396
CL169Contig1	HCGP-CN-CO_00397
CL169Contig2	HCGP-CN-CO_00398
CL16Contig2	HCGP-CN-CO_00399
CL16Contig3	HCGP-CN-CO_00400
CL170Contig1	HCGP-CN-CO_00401
CL171Contig1	HCGP-CN-CO_00402
CL172Contig1	HCGP-CN-CO_00403
CL173Contig1	HCGP-CN-CO_00404
CL173Contig2	HCGP-CN-CO_00405
CL174Contig1	HCGP-CN-CO_00406
CL175Contig1	HCGP-CN-CO_00407
CL176Contig1	HCGP-CN-CO_00408
CL177Contig1	HCGP-CN-CO_00409
CL178Contig1	HCGP-CN-CO_00410
CL179Contig1	HCGP-CN-CO_00411
CL17Contig1	HCGP-CN-CO_00412
CL17Contig2	HCGP-CN-CO_00413
CL17Contig3	HCGP-CN-CO_00414
CL180Contig1	HCGP-CN-CO_00415
CL181Contig1	HCGP-CN-CO_00416
