#TGICL_NAME	CONTIG_NAME
CL644Contig1	HCGP-SN-CO_00587
CL645Contig1	HCGP-SN-CO_00588
CL646Contig1	HCGP-SN-CO_00589
CL647Contig1	HCGP-SN-CO_00590
CL648Contig1	HCGP-SN-CO_00591
CL649Contig1	HCGP-SN-CO_00592
CL64Contig1	HCGP-SN-CO_00593
CL650Contig1	HCGP-SN-CO_00594
CL652Contig1	HCGP-SN-CO_00595
CL653Contig1	HCGP-SN-CO_00596
CL654Contig1	HCGP-SN-CO_00597
CL655Contig1	HCGP-SN-CO_00598
CL656Contig1	HCGP-SN-CO_00599
CL657Contig1	HCGP-SN-CO_00600
CL658Contig1	HCGP-SN-CO_00601
CL65Contig1	HCGP-SN-CO_00602
CL660Contig1	HCGP-SN-CO_00603
CL661Contig1	HCGP-SN-CO_00604
CL662Contig1	HCGP-SN-CO_00605
CL664Contig1	HCGP-SN-CO_00606
CL665Contig1	HCGP-SN-CO_00607
CL666Contig1	HCGP-SN-CO_00608
CL667Contig1	HCGP-SN-CO_00609
CL668Contig1	HCGP-SN-CO_00610
CL669Contig1	HCGP-SN-CO_00611
CL66Contig1	HCGP-SN-CO_00612
CL670Contig1	HCGP-SN-CO_00613
CL671Contig1	HCGP-SN-CO_00614
CL672Contig1	HCGP-SN-CO_00615
CL673Contig1	HCGP-SN-CO_00616
CL675Contig1	HCGP-SN-CO_00617
CL676Contig1	HCGP-SN-CO_00618
CL677Contig1	HCGP-SN-CO_00619
CL678Contig1	HCGP-SN-CO_00620
CL679Contig1	HCGP-SN-CO_00621
CL67Contig1	HCGP-SN-CO_00622
CL680Contig1	HCGP-SN-CO_00623
CL682Contig1	HCGP-SN-CO_00624
CL683Contig1	HCGP-SN-CO_00625
CL684Contig1	HCGP-SN-CO_00626
CL685Contig1	HCGP-SN-CO_00627
CL686Contig1	HCGP-SN-CO_00628
CL687Contig1	HCGP-SN-CO_00629
CL688Contig1	HCGP-SN-CO_00630
CL689Contig1	HCGP-SN-CO_00631
CL68Contig1	HCGP-SN-CO_00632
