#TGICL_NAME	CONTIG_NAME
CL1268Contig1	HCGP-NT-CO_00306
CL1269Contig1	HCGP-NT-CO_00307
CL126Contig1	HCGP-NT-CO_00308
CL126Contig2	HCGP-NT-CO_00309
CL1270Contig1	HCGP-NT-CO_00310
CL1271Contig1	HCGP-NT-CO_00311
CL1272Contig1	HCGP-NT-CO_00312
CL1273Contig1	HCGP-NT-CO_00313
CL1274Contig1	HCGP-NT-CO_00314
CL1275Contig1	HCGP-NT-CO_00315
CL1276Contig1	HCGP-NT-CO_00316
CL1277Contig1	HCGP-NT-CO_00317
CL1278Contig1	HCGP-NT-CO_00318
CL1279Contig1	HCGP-NT-CO_00319
CL127Contig1	HCGP-NT-CO_00320
CL1280Contig1	HCGP-NT-CO_00321
CL1281Contig1	HCGP-NT-CO_00322
CL1282Contig1	HCGP-NT-CO_00323
CL1283Contig1	HCGP-NT-CO_00324
CL1284Contig1	HCGP-NT-CO_00325
CL1285Contig1	HCGP-NT-CO_00326
CL1286Contig1	HCGP-NT-CO_00327
CL1287Contig1	HCGP-NT-CO_00328
CL1288Contig1	HCGP-NT-CO_00329
CL1289Contig1	HCGP-NT-CO_00330
CL128Contig1	HCGP-NT-CO_00331
CL128Contig2	HCGP-NT-CO_00332
CL1290Contig1	HCGP-NT-CO_00333
CL1291Contig1	HCGP-NT-CO_00334
CL1292Contig1	HCGP-NT-CO_00335
CL1293Contig1	HCGP-NT-CO_00336
CL1294Contig1	HCGP-NT-CO_00337
CL1295Contig1	HCGP-NT-CO_00338
CL1296Contig1	HCGP-NT-CO_00339
CL1297Contig1	HCGP-NT-CO_00340
CL1298Contig1	HCGP-NT-CO_00341
CL1299Contig1	HCGP-NT-CO_00342
CL129Contig1	HCGP-NT-CO_00343
CL12Contig1	HCGP-NT-CO_00344
CL12Contig2	HCGP-NT-CO_00345
CL12Contig3	HCGP-NT-CO_00346
CL12Contig4	HCGP-NT-CO_00347
CL12Contig5	HCGP-NT-CO_00348
CL12Contig6	HCGP-NT-CO_00349
CL12Contig7	HCGP-NT-CO_00350
CL12Contig8	HCGP-NT-CO_00351
CL12Contig9	HCGP-NT-CO_00352
CL1300Contig1	HCGP-NT-CO_00353
CL1301Contig1	HCGP-NT-CO_00354
CL1302Contig1	HCGP-NT-CO_00355
CL1303Contig1	HCGP-NT-CO_00356
CL1304Contig1	HCGP-NT-CO_00357
CL1305Contig1	HCGP-NT-CO_00358
