#TGICL_NAME	CONTIG_NAME
CL1314Contig1	HCGP-ET-CO_00329
CL1316Contig1	HCGP-ET-CO_00330
CL1318Contig1	HCGP-ET-CO_00331
CL1319Contig1	HCGP-ET-CO_00332
CL131Contig1	HCGP-ET-CO_00333
CL1320Contig1	HCGP-ET-CO_00334
CL1321Contig1	HCGP-ET-CO_00335
CL1323Contig1	HCGP-ET-CO_00336
CL1324Contig1	HCGP-ET-CO_00337
CL1325Contig1	HCGP-ET-CO_00338
CL1326Contig1	HCGP-ET-CO_00339
CL1328Contig1	HCGP-ET-CO_00340
CL1329Contig1	HCGP-ET-CO_00341
CL132Contig1	HCGP-ET-CO_00342
CL1331Contig1	HCGP-ET-CO_00343
CL1332Contig1	HCGP-ET-CO_00344
CL1333Contig1	HCGP-ET-CO_00345
CL1334Contig1	HCGP-ET-CO_00346
CL1335Contig1	HCGP-ET-CO_00347
CL1336Contig1	HCGP-ET-CO_00348
CL1337Contig1	HCGP-ET-CO_00349
CL1338Contig1	HCGP-ET-CO_00350
CL133Contig1	HCGP-ET-CO_00351
CL1341Contig1	HCGP-ET-CO_00352
CL1342Contig1	HCGP-ET-CO_00353
CL1343Contig1	HCGP-ET-CO_00354
CL1344Contig1	HCGP-ET-CO_00355
CL1346Contig1	HCGP-ET-CO_00356
CL1347Contig1	HCGP-ET-CO_00357
CL1348Contig1	HCGP-ET-CO_00358
CL1349Contig1	HCGP-ET-CO_00359
CL134Contig1	HCGP-ET-CO_00360
CL1350Contig1	HCGP-ET-CO_00361
CL1351Contig1	HCGP-ET-CO_00362
CL1353Contig1	HCGP-ET-CO_00363
CL1354Contig1	HCGP-ET-CO_00364
CL1356Contig1	HCGP-ET-CO_00365
CL1357Contig1	HCGP-ET-CO_00366
CL1358Contig1	HCGP-ET-CO_00367
CL1359Contig1	HCGP-ET-CO_00368
CL135Contig1	HCGP-ET-CO_00369
CL1362Contig1	HCGP-ET-CO_00370
CL1363Contig1	HCGP-ET-CO_00371
CL1364Contig1	HCGP-ET-CO_00372
CL1366Contig1	HCGP-ET-CO_00373
CL1367Contig1	HCGP-ET-CO_00374
CL1368Contig1	HCGP-ET-CO_00375
CL1369Contig1	HCGP-ET-CO_00376
CL136Contig1	HCGP-ET-CO_00377
CL1370Contig1	HCGP-ET-CO_00378
CL1371Contig1	HCGP-ET-CO_00379
CL1372Contig1	HCGP-ET-CO_00380
CL1373Contig1	HCGP-ET-CO_00381
CL1374Contig1	HCGP-ET-CO_00382
CL1375Contig1	HCGP-ET-CO_00383
CL1376Contig1	HCGP-ET-CO_00384
CL1377Contig1	HCGP-ET-CO_00385
CL1378Contig1	HCGP-ET-CO_00386
CL1379Contig1	HCGP-ET-CO_00387
CL137Contig1	HCGP-ET-CO_00388
CL1380Contig1	HCGP-ET-CO_00389
CL1382Contig1	HCGP-ET-CO_00390
CL1384Contig1	HCGP-ET-CO_00391
CL1385Contig1	HCGP-ET-CO_00392
CL1386Contig1	HCGP-ET-CO_00393
CL1387Contig1	HCGP-ET-CO_00394
CL1388Contig1	HCGP-ET-CO_00395
CL138Contig1	HCGP-ET-CO_00396
CL1390Contig1	HCGP-ET-CO_00397
CL1393Contig1	HCGP-ET-CO_00398
CL1395Contig1	HCGP-ET-CO_00399
CL1396Contig1	HCGP-ET-CO_00400
CL1397Contig1	HCGP-ET-CO_00401
CL1399Contig1	HCGP-ET-CO_00402
CL139Contig1	HCGP-ET-CO_00403
CL13Contig1	HCGP-ET-CO_00404
CL13Contig2	HCGP-ET-CO_00405
CL1400Contig1	HCGP-ET-CO_00406
CL1401Contig1	HCGP-ET-CO_00407
CL1402Contig1	HCGP-ET-CO_00408
CL1403Contig1	HCGP-ET-CO_00409
CL1404Contig1	HCGP-ET-CO_00410
CL1406Contig1	HCGP-ET-CO_00411
CL1407Contig1	HCGP-ET-CO_00412
CL1408Contig1	HCGP-ET-CO_00413
CL140Contig1	HCGP-ET-CO_00414
CL1410Contig1	HCGP-ET-CO_00415
CL1411Contig1	HCGP-ET-CO_00416
CL1412Contig1	HCGP-ET-CO_00417
CL1413Contig1	HCGP-ET-CO_00418
CL1414Contig1	HCGP-ET-CO_00419
CL1415Contig1	HCGP-ET-CO_00420
CL1416Contig1	HCGP-ET-CO_00421
CL1417Contig1	HCGP-ET-CO_00422
CL1418Contig1	HCGP-ET-CO_00423
CL141Contig1	HCGP-ET-CO_00424
CL1421Contig1	HCGP-ET-CO_00425
CL1422Contig1	HCGP-ET-CO_00426
CL1424Contig1	HCGP-ET-CO_00427
CL1425Contig1	HCGP-ET-CO_00428
CL1426Contig1	HCGP-ET-CO_00429
CL1428Contig1	HCGP-ET-CO_00430
CL1429Contig1	HCGP-ET-CO_00431
CL142Contig1	HCGP-ET-CO_00432
CL1430Contig1	HCGP-ET-CO_00433
CL1431Contig1	HCGP-ET-CO_00434
CL1432Contig1	HCGP-ET-CO_00435
CL1433Contig1	HCGP-ET-CO_00436
CL1434Contig1	HCGP-ET-CO_00437
CL1435Contig1	HCGP-ET-CO_00438
CL1436Contig1	HCGP-ET-CO_00439
CL143Contig1	HCGP-ET-CO_00440
CL1440Contig1	HCGP-ET-CO_00441
CL1441Contig1	HCGP-ET-CO_00442
CL1442Contig1	HCGP-ET-CO_00443
