#TGICL_NAME	CONTIG_NAME
CL1541Contig1	HCGP-FT-CO_00506
CL1542Contig1	HCGP-FT-CO_00507
CL1543Contig1	HCGP-FT-CO_00508
CL1544Contig1	HCGP-FT-CO_00509
CL1545Contig1	HCGP-FT-CO_00510
CL1546Contig1	HCGP-FT-CO_00511
CL1547Contig1	HCGP-FT-CO_00512
CL1548Contig1	HCGP-FT-CO_00513
CL1549Contig1	HCGP-FT-CO_00514
CL154Contig1	HCGP-FT-CO_00515
CL1550Contig1	HCGP-FT-CO_00516
CL1551Contig1	HCGP-FT-CO_00517
CL1552Contig1	HCGP-FT-CO_00518
CL1553Contig1	HCGP-FT-CO_00519
CL1554Contig1	HCGP-FT-CO_00520
CL1555Contig1	HCGP-FT-CO_00521
CL1556Contig1	HCGP-FT-CO_00522
CL1557Contig1	HCGP-FT-CO_00523
CL1558Contig1	HCGP-FT-CO_00524
CL1559Contig1	HCGP-FT-CO_00525
CL155Contig1	HCGP-FT-CO_00526
CL1560Contig1	HCGP-FT-CO_00527
CL1561Contig1	HCGP-FT-CO_00528
CL1562Contig1	HCGP-FT-CO_00529
CL1563Contig1	HCGP-FT-CO_00530
CL1564Contig1	HCGP-FT-CO_00531
CL1565Contig1	HCGP-FT-CO_00532
CL1567Contig1	HCGP-FT-CO_00533
CL1568Contig1	HCGP-FT-CO_00534
CL1569Contig1	HCGP-FT-CO_00535
CL156Contig1	HCGP-FT-CO_00536
CL1570Contig1	HCGP-FT-CO_00537
CL1571Contig1	HCGP-FT-CO_00538
CL1572Contig1	HCGP-FT-CO_00539
CL1573Contig1	HCGP-FT-CO_00540
CL1575Contig1	HCGP-FT-CO_00541
CL1576Contig1	HCGP-FT-CO_00542
CL1578Contig1	HCGP-FT-CO_00543
CL1579Contig1	HCGP-FT-CO_00544
CL157Contig1	HCGP-FT-CO_00545
CL1580Contig1	HCGP-FT-CO_00546
CL1581Contig1	HCGP-FT-CO_00547
CL1582Contig1	HCGP-FT-CO_00548
CL1583Contig1	HCGP-FT-CO_00549
CL1584Contig1	HCGP-FT-CO_00550
CL1585Contig1	HCGP-FT-CO_00551
CL1586Contig1	HCGP-FT-CO_00552
CL1587Contig1	HCGP-FT-CO_00553
CL1588Contig1	HCGP-FT-CO_00554
CL1589Contig1	HCGP-FT-CO_00555
CL158Contig1	HCGP-FT-CO_00556
CL1590Contig1	HCGP-FT-CO_00557
CL1591Contig1	HCGP-FT-CO_00558
CL1592Contig1	HCGP-FT-CO_00559
CL1593Contig1	HCGP-FT-CO_00560
CL1594Contig1	HCGP-FT-CO_00561
CL1595Contig1	HCGP-FT-CO_00562
CL1596Contig1	HCGP-FT-CO_00563
CL1597Contig1	HCGP-FT-CO_00564
CL1598Contig1	HCGP-FT-CO_00565
